player_name,vorp_prev
Jared McCain,0.3
Jared Rhoden,0.1
Jaren Jackson Jr.,2.4
Jarred Vanderbilt,0.2
Jarrett Allen,3.6
Javonte Green,0.0
Jaxson Hayes,0.5
Jay Huff,1.1
Jaylen Brown,1.1
Jaylen Clark,0.2
Jaylen Martin,0.0
Jaylen Nowell,-0.2
Jaylen Sims,-0.1
Jaylen Wells,-0.1
Jaylin Williams,1.2
Jaylon Tyson,-0.1
Jayson Tatum,4.8
Jazian Gortman,-0.1
Jeff Dowtin Jr.,0.3
Jeff Green,0.2
Jerami Grant,0.1
Jeremiah Robinson-Earl,-0.2
Jeremy Sochan,0.3
Jericho Sims,0.0
Jesse Edwards,0.0
Jett Howard,-0.6
Jevon Carter,0.0
Jimmy Butler,3.0
Jock Landale,0.3
Joe Ingles,-0.1
Joel Embiid,0.8
John Collins,0.9
John Konchar,0.5
Johnny Davis,0.0
Johnny Furphy,0.0
Johnny Juzang,-0.1
Jonas Valančiūnas,1.0
Jonathan Isaac,0.7
Jonathan Kuminga,0.4
Jonathan Mogbo,0.0
Jordan Clarkson,0.1
Jordan Goodwin,0.2
Jordan Hawkins,-1.2
Jordan McLaughlin,0.1
Jordan Miller,-0.1
Jordan Poole,1.2
Jordan Walsh,-0.2
Jose Alvarado,0.2
Josh Christopher,-0.1
Josh Giddey,2.7
Josh Green,-1.1
Josh Hart,3.6
Josh Minott,0.3
Josh Okogie,0.6
Josh Richardson,-0.2
Jrue Holiday,1.3
Julian Champagnie,0.4
Julian Phillips,-0.3
Julian Strawther,-0.9
Julius Randle,1.8
Justin Champagnie,0.5
Justin Edwards,-0.5
Justin Minaya,-0.1
Jusuf Nurkić,0.4
KJ Martin,0.0
KJ Simpson,-0.7
Kai Jones,0.6
Karl-Anthony Towns,3.5
Karlo Matković,0.0
Kawhi Leonard,1.5
Keaton Wallace,0.0
Keegan Murray,0.2
Keion Brooks Jr.,-0.1
Kel'el Ware,0.7
Keldon Johnson,0.2
Kelly Olynyk,0.3
Kelly Oubre Jr.,-0.1
Kenrich Williams,0.7
Kentavious Caldwell-Pope,0.3
Keon Ellis,1.9
Keon Johnson,-0.6
Keshad Johnson,0.0
Kessler Edwards,0.1
Kevin Durant,3.0
Kevin Huerter,0.1
Kevin Knox,0.0
Kevin Love,0.2
Kevin McCullar Jr.,0.0
Kevin Porter Jr.,0.6
Kevon Looney,0.7
Keyonte George,-0.3
Khris Middleton,0.6
Killian Hayes,0.1
Klay Thompson,0.5
Kobe Brown,0.0
Kobe Bufkin,-0.1
Kris Dunn,1.2
Kris Murray,-0.3
Kristaps Porziņģis,2.1
Kyle Anderson,0.9
Kyle Filipowski,0.4
Kyle Kuzma,-0.7
Kyle Lowry,0.1
Kylor Kelley,0.0
Kyrie Irving,2.5
Kyshawn George,-0.9
LaMelo Ball,2.0
Lamar Stevens,-0.1
Landry Shamet,-0.1
Larry Nance Jr.,0.4
Lauri Markkanen,0.7
LeBron James,4.7
League Average,
Leonard Miller,0.0
Lester Quiñones,0.0
Liam Robbins,-0.1
Lindy Waters III,0.0
Lonnie Walker IV,0.0
Lonzo Ball,0.4
Luguentz Dort,1.2
Luka Dončić,3.9
Luka Garza,0.0
Luke Kennard,1.2
Luke Kornet,1.8
Luke Travers,-0.2
Mac McClung,0.0
Malachi Flynn,0.0
Malaki Branham,-0.1
Malcolm Brogdon,0.1
Malevy Leons,-0.1
Malik Beasley,1.6
Malik Monk,0.6
MarJon Beauchamp,0.0
Marcus Bagley,-0.1
Marcus Garrett,-0.1
Marcus Sasser,0.3
Marcus Smart,0.1
Mark Williams,1.6
Markelle Fultz,-0.1
Markieff Morris,-0.1
Marvin Bagley III,0.1
Mason Jones,0.1
Mason Plumlee,0.5
Matas Buzelis,-0.2
Matisse Thybulle,0.6
Matt Ryan,-0.1
Max Christie,0.0
Max Strus,1.1
Maxi Kleber,-0.3
Maxwell Lewis,-0.1
Micah Potter,-0.3
Michael Porter Jr.,1.2
Mikal Bridges,1.2
Mike Conley,1.4
Miles Bridges,2.0
Miles McBride,0.8
Miles Norris,0.0
Mitchell Robinson,0.4
Mo Bamba,0.2
Monte Morris,0.0
Moritz Wagner,0.9
Moses Brown,0.1
Moses Moody,0.5
Mouhamed Gueye,0.2
Moussa Diabaté,0.0
Myles Turner,1.3
N'Faly Dante,0.1
Nae'Qwan Tomlin,-0.1
Naji Marshall,0.6
Nate Williams,-0.1
Naz Reid,2.0
Neemias Queta,0.3
Nic Claxton,1.1
Nick Richards,0.0
Nick Smith Jr.,-1.3
Nickeil Alexander-Walker,0.8
Nicolas Batum,1.0
Nikola Jokić,9.8
Nikola Jović,0.7
Nikola Vučević,2.7
Noah Clowney,-0.5
Norman Powell,1.8
OG Anunoby,1.9
Obi Toppin,1.4
Ochai Agbaji,0.5
Olivier-Maxence Prosper,0.0
Onyeka Okongwu,1.7
Orlando Robinson,0.0
Oscar Tshiebwe,0.0
Oshae Brissett,-0.1
Oso Ighodaro,-0.2
Ousmane Dieng,0.1
P.J. Tucker,-0.1
P.J. Washington,0.5
PJ Dozier,0.0
PJ Hall,0.0
Pacôme Dadiet,-0.1
Paolo Banchero,2.2
Pascal Siakam,2.4
Pat Connaughton,0.0
Pat Spencer,0.0
Patrick Baldwin Jr.,0.1
Patrick Williams,-0.7
Patty Mills,0.1
Paul George,0.5
Paul Reed,0.5
Payton Pritchard,3.2
Pelle Larsson,-0.2
Pete Nance,0.0
Peyton Watson,0.1
Phillip Wheeler,-0.2
Precious Achiuwa,0.0
Quentin Grimes,1.2
Quenton Jackson,0.2
Quincy Olivari,0.0
Quinten Post,0.4
RJ Barrett,1.2
RayJ Dennis,0.0
Rayan Rupert,-0.3
Reece Beekman,0.0
Reed Sheppard,0.1
Reggie Jackson,-0.2
Richaun Holmes,0.4
Ricky Council IV,-0.7
Riley Minix,0.0
Rob Dillingham,-0.3
Robert Williams,0.4
Ron Harper Jr.,0.0
Ron Holland,-0.3
Royce O'Neale,1.0
Rudy Gobert,2.4
Rui Hachimura,0.6
Russell Westbrook,0.5
Ryan Dunn,-0.7
Ryan Rollins,0.3
Sam Hauser,1.1
Sam Merrill,0.8
Sandro Mamukelashvili,0.7
Santi Aldama,2.2
Scoot Henderson,-0.1
Scottie Barnes,2.3
Scotty Pippen Jr.,1.7
Seth Curry,0.1
Shaedon Sharpe,0.4
Shai Gilgeous-Alexander,8.9
Shake Milton,0.1
Sidy Cissoko,0.0
Simone Fontecchio,-0.3
Skal Labissière,0.0
Spencer Dinwiddie,0.2
Spencer Jones,-0.2
Stanley Umude,-0.1
Stephen Curry,4.8
Stephon Castle,-0.6
Steven Adams,0.5
Svi Mykhailiuk,-0.3
T.J. McConnell,1.2
Taj Gibson,-0.3
Talen Horton-Tucker,-0.1
Tari Eason,2.0
Taurean Prince,0.1
Taylor Hendricks,0.0
Taze Moore,0.0
Terance Mann,0.2
Terence Davis,0.0
Terrence Shannon Jr.,0.0
Terry Rozier,-0.7
Terry Taylor,0.0
Thomas Bryant,0.6
Tidjane Salaün,-1.0
Tim Hardaway Jr.,0.0
Tobias Harris,1.2
Tolu Smith,0.0
Tony Bradley,0.1
Torrey Craig,0.1
Tosan Evbuomwan,-0.2
Toumani Camara,1.2
Trae Young,1.7
Trayce Jackson-Davis,0.8
Tre Jones,0.8
Tre Mann,0.0
Trendon Watford,-0.3
Trentyn Flowers,0.0
Trevelin Queen,0.2
Trey Alexander,-0.2
Trey Jemison,-0.2
Trey Lyles,0.4
Trey Murphy III,1.3
Tristan Da Silva,-0.3
Tristan Thompson,-0.2
Tristan Vukcevic,0.2
Tristen Newton,0.0
Ty Jerome,2.2
TyTy Washington Jr.,-0.2
Tyler Herro,3.5
Tyler Kolek,-0.1
Tyler Smith,0.0
Tyrese Haliburton,4.9
Tyrese Martin,-0.2
Tyrese Maxey,2.0
Tyson Etienne,-0.3
Tyus Jones,1.1
Ulrich Chomche,0.0
Vasilije Micić,-0.1
Victor Wembanyama,3.3
Vince Williams Jr.,-0.1
Vlatko Čančar,-0.2
Vít Krejčí,0.8
Walker Kessler,1.7
Wendell Carter Jr.,0.3
Wendell Moore Jr.,0.1
Xavier Tillman Sr.,-0.4
Yuki Kawamura,0.0
Yuri Collins,0.0
Yves Missi,-0.5
Zaccharie Risacher,-0.7
Zach Collins,0.5
Zach Edey,0.7
Zach LaVine,1.8
Zeke Nnaji,0.1
Ziaire Williams,-0.1
Zion Williamson,1.9
Zyon Pullin,0.0
